Gradient F1	Diff Moving Average
1	22.52
2	19.51
3	17.84
4	17.16
5	16.45
6	15.08
7	14.95
8	15.01
9	11.24
10	13.80
11	9.48
12	8.78
13	11.14
14	9.71
15	11.63
16	11.80
17	10.62
18	8.47
19	6.95
20	10.54
21	10.56
22	10.93
23	7.09
24	8.19
25	9.88
26	7.83
27	9.73
28	8.12
29	8.64
30	7.34
31	6.17
32	8.15
33	8.17
34	7.35
35	7.04
36	9.65
37	8.29
38	8.81
39	10.81
40	10.62
41	10.97
42	9.41
43	7.41
44	8.24
45	7.24
46	5.89
47	5.88
48	8.28
49	6.07
50	7.00
51	6.43
52	7.39
53	6.20
54	7.51
55	7.77
56	7.48
57	8.00
58	7.43
59	8.28
60	7.45
61	6.84
62	7.32
63	7.09
64	5.90
65	6.34
66	7.13
67	7.09
68	7.65
69	6.77
70	8.03
71	7.83
72	7.69
73	7.84
74	9.26
75	11.47
76	11.21
77	9.54
78	10.30
79	10.12
80	7.44
81	9.87
82	9.66
83	8.09
84	7.73
85	8.98
86	8.22
87	9.14
88	9.40
89	8.85
90	8.70
91	5.77
92	10.13
93	9.57
94	7.72
95	9.28
96	8.90
97	9.30
98	8.07
99	9.83
100	9.38
101	9.93
102	4.76
103	9.04
104	9.29
105	7.98
106	8.79
107	7.38
108	5.30
109	9.44
110	6.69
111	8.94
112	6.95
113	9.03
114	6.79
115	8.33
116	7.84
117	8.75
118	8.17
119	8.78
120	9.23
121	9.41
122	9.71
123	9.00
124	8.41
125	9.69
126	11.22
127	10.34
128	10.70
129	10.43
130	9.71
131	11.54
132	9.33
133	8.81
134	9.03
135	8.71
136	6.09
137	8.36
138	8.94
139	6.99
140	8.31
141	9.31
142	9.38
143	7.77
144	8.44
145	10.11
146	8.68
147	8.08
148	8.61
149	7.37
150	8.63
151	8.33
152	6.43
153	6.17
154	9.31
155	9.45
156	9.03
157	8.15
158	7.94
159	7.38
160	6.08
161	9.09
162	8.18
163	8.24
164	8.87
165	7.90
166	8.69
167	8.41
168	8.36
169	7.78
170	8.68
171	6.98
172	6.46
173	5.53
174	6.43
175	5.53
176	5.93
177	7.63
178	6.39
179	6.84
180	7.33
181	7.35
182	7.68
183	6.85
184	5.30
185	7.11
186	6.77
187	7.97
188	7.65
189	7.55
190	8.01
191	8.71
192	8.52
193	8.52
194	7.86
195	7.86
196	8.11
197	7.70
198	7.72
199	8.34
200	7.22
201	8.50
202	7.82
203	8.67
204	9.60
205	9.56
206	9.33
207	10.47
208	9.42
209	8.07
210	9.93
211	9.69
212	11.08
213	9.92
214	11.33
215	9.73
216	8.32
217	10.78
218	9.96
219	10.66
220	10.60
221	10.77
222	10.41
223	10.18
224	10.07
225	7.88
226	8.12
227	8.47
228	8.47
229	10.35
230	9.32
231	8.39
232	8.44
233	8.48
234	7.13
235	6.14
236	9.31
237	8.51
238	9.16
239	9.75
240	8.49
241	10.30
242	10.49
243	10.71
244	8.97
245	9.07
246	7.71
247	10.44
